N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"60,100",0,0.00%,100,"3,587,839","5,969,783",56.21,0,18.80,8.69,
2,SK하이닉스,"83,300",0,0.00%,"5,000","606,426","728,002",48.90,0,26.53,4.25,
3,NAVER,"293,000",0,0.00%,100,"481,292","164,263",55.81,0,68.30,10.56,
4,LG화학,"639,000",0,0.00%,"5,000","451,085","70,592",38.27,0,110.15,1.84,
5,삼성전자우,"53,500",0,0.00%,100,"440,244","822,887",86.62,0,16.74,N/A,
6,삼성바이오로직스,"658,000",0,0.00%,"2,500","435,366","66,165",10.14,0,126.76,4.77,
7,현대차,"162,500",0,0.00%,"5,000","347,211","213,668",31.02,0,23.41,4.32,
8,셀트리온,"237,500",0,0.00%,"1,000","320,610","134,994",20.65,0,80.10,11.19,
9,카카오,"349,000",0,0.00%,500,"307,985","88,248",31.87,0,-199.43,-5.81,
10,삼성SDI,"429,500",0,0.00%,"5,000","295,344","68,765",42.06,0,157.79,2.94,
11,LG생활건강,"1,539,000",0,0.00%,"5,000","240,364","15,618",45.49,0,35.10,20.32,
12,현대모비스,"234,000",0,0.00%,"5,000","222,428","95,055",43.25,0,12.75,7.28,
13,삼성물산,"104,500",0,0.00%,100,"195,297","186,887",14.00,0,18.26,4.77,
14,SK텔레콤,"238,500",0,0.00%,500,"192,579","80,746",35.43,0,19.57,3.92,
15,기아차,"45,200",0,0.00%,"5,000","183,224","405,363",38.45,0,17.21,6.50,
16,POSCO,"210,000",0,0.00%,"5,000","183,092","87,187",51.02,0,19.96,4.18,
17,엔씨소프트,"811,000",0,0.00%,500,"178,047","21,954",48.96,0,34.16,14.72,
18,KB금융,"41,900",0,0.00%,"5,000","174,224","415,808",65.63,0,5.48,8.92,
19,신한지주,"30,200",0,0.00%,"5,000","155,991","516,527",54.02,0,4.54,9.09,
20,LG전자,"88,400",0,0.00%,"5,000","144,665","163,648",35.39,0,35.47,0.22,
21,SK,"199,500",0,0.00%,200,"140,369","70,360",21.90,0,-384.39,4.31,
22,한국전력,"21,500",0,0.00%,"5,000","138,022","641,964",17.53,0,-14.98,-3.42,
23,삼성에스디에스,"174,000",0,0.00%,500,"134,637","77,378",12.13,0,25.83,11.76,
24,SK바이오팜,"162,500",0,0.00%,500,"127,259","78,313",2.53,0,-147.73,-313.66,
25,SK이노베이션,"136,500",0,0.00%,"5,000","126,215","92,466",23.75,0,-5.59,-0.20,
26,삼성생명,"63,000",0,0.00%,500,"126,000","200,000",12.46,0,14.01,3.26,
27,LG,"72,500",0,0.00%,"5,000","125,104","172,557",34.76,0,15.47,5.87,
28,KT&G,"85,100",0,0.00%,"5,000","116,836","137,292",41.82,0,11.38,12.39,
29,넷마블,"127,500",0,0.00%,100,"109,450","85,843",22.70,0,52.75,3.54,
30,삼성전기,"137,000",0,0.00%,"5,000","102,330","74,694",33.08,0,42.17,10.18,
31,아모레퍼시픽,"167,000",0,0.00%,500,"97,626","58,458",30.38,0,83.96,5.36,
32,하나금융지주,"32,150",0,0.00%,"5,000","96,528","300,242",63.59,0,3.81,8.77,
33,삼성화재,"191,500",0,0.00%,500,"90,723","47,375",46.78,0,14.64,4.85,
34,롯데케미칼,"242,500",0,0.00%,"5,000","83,118","34,275",28.51,0,46.27,5.51,
35,고려아연,"386,000",0,0.00%,"5,000","72,838","18,870",23.52,0,13.24,9.76,
36,신풍제약,"136,500",0,0.00%,500,"72,325","52,985",9.69,0,"4,136.36",0.80,
37,현대글로비스,"191,500",0,0.00%,500,"71,812","37,500",35.96,0,13.05,11.25,
38,한화솔루션,"44,650",0,0.00%,"5,000","71,379","159,864",19.82,0,-43.10,-4.02,
39,S-Oil,"57,900",0,0.00%,"2,500","65,185","112,583",73.72,0,-7.96,1.01,
40,한온시스템,"12,100",0,0.00%,100,"64,590","533,800",20.71,0,38.78,14.98,
41,우리금융지주,"8,880",0,0.00%,"5,000","64,137","722,268",25.86,0,4.69,N/A,
42,기업은행,"8,450",0,0.00%,"5,000","62,417","738,664",10.75,0,4.04,7.36,
43,빅히트,"180,000",0,0.00%,500,"60,923","33,846",3.24,0,N/A,56.47,
44,KT,"22,900",0,0.00%,"5,000","59,795","261,112",44.11,0,9.98,4.61,
45,CJ제일제당,"387,000",0,0.00%,"5,000","58,260","15,054",23.49,0,9.74,3.16,
46,한국조선해양,"80,600",0,0.00%,"5,000","57,043","70,773",15.60,0,54.20,1.40,
47,LG디스플레이,"15,750",0,0.00%,"5,000","56,356","357,816",22.16,0,-1.94,-22.35,
48,미래에셋대우,"8,700",0,0.00%,"5,000","56,143","645,316",13.99,0,10.36,7.56,
49,코웨이,"75,800",0,0.00%,500,"55,940","73,800",61.06,0,15.93,30.74,
50,LG유플러스,"11,750",0,0.00%,"5,000","51,302","436,611",31.25,0,10.26,6.30,
51,KODEX 200,"31,405",0,0.00%,0,"50,107","159,550",5.91,0,N/A,N/A,
52,오리온,"124,000",0,0.00%,500,"49,025","39,536",43.60,0,18.50,14.24,
53,강원랜드,"22,900",0,0.00%,500,"48,992","213,940",24.14,0,-241.05,9.16,
